,Components,l,pol,class,map_logp,Marg. Likelihood,Modified Prior,model,gelRub,accTrain,accTest,f1Train,f1Test
58,4,True,1,lpv,-inf,-298.740958038139,laplace,RL,"{'mean1': 1.0014684568218362, 'Intercept': 1.0085522435685852, 'col0': 1.0421014141047722, 'col1': 1.034388349381554, 'col2': 1.0445414840445373, 'col3': 1.005045942038986}",0.97,0.75,0.97,0.81
59,4,True,1,ecl,-1837.0908233676,-1837.33435198195,laplace,RL,"{'mean1': 1.0010696276657831, 'Intercept': 1.0005525291622535, 'col0': 1.0254355789758414, 'col1': 1.0021988582764167, 'col2': 1.0173200825498905, 'col3': 1.0994925336361334}",0.94,0.53,0.94,0.42
60,4,True,2,rrlyr,-inf,-765.106551718231,normal,RL,"{'mean1': 1.0005968904909788, 'Intercept': 0.9995182109236523, 'col0': 1.0014351964208525, 'col1': 1.000368020461777, 'col2': 1.0002690965673988, 'col3': 1.0357986778355657, 'col4': 0.9994999413340719, 'col5': 1.0014609789938116, 'col6': 1.0025132758638537, 'col7': 1.02389656365394}",0.98,0.66,0.98,0.70
61,4,True,2,cep,-inf,-1098.89058547102,normal,RL,"{'mean1': 1.0001636316369027, 'Intercept': 1.0232164582726624, 'col0': 1.0163233686461326, 'col1': 1.0172753475044956, 'col2': 1.0481061407774792, 'col3': 0.9995210160059154, 'col4': 1.0177301114110118, 'col5': 1.01470138456814, 'col6': 1.0205594005105207, 'col7': 0.9995803566836413}",0.92,0.59,0.92,0.53
62,4,True,2,dsct,-295.064989414846,-300.501432335733,normal,RL,"{'mean1': 1.033899959251111, 'Intercept': 1.0641214499666158, 'col0': 1.2451299322949818, 'col1': 1.2088178254040651, 'col2': 1.1238888229054007, 'col3': 1.0751687639328837, 'col4': 1.0072777278982354, 'col5': 1.0202392954801087, 'col6': 1.0260690552776073, 'col7': 1.0235832738908914}",0.97,0.58,0.97,0.42
63,4,True,2,lpv,-inf,-569.101117591451,normal,RL,"{'mean1': 1.0035166390662251, 'Intercept': 1.0133356153064377, 'col0': 1.0124618577588211, 'col1': 1.0007543733983042, 'col2': 1.0009723683169631, 'col3': 0.9999226131554654, 'col4': 1.0124711589099873, 'col5': 1.0080081362836337, 'col6': 1.0036324185457473, 'col7': 1.0111233767179217}",0.99,0.73,0.99,0.78
64,4,True,2,ecl,-inf,-1701.18609226984,normal,RL,"{'mean1': 0.9995504189018793, 'Intercept': 1.0089391336629387, 'col0': 1.0328058318376923, 'col1': 1.0623955901523618, 'col2': 1.0621125407440115, 'col3': 1.0180933477992733, 'col4': 0.9995476098464348, 'col5': 1.0001320281042705, 'col6': 1.0086944171025627, 'col7': 0.9997714814864946}",0.95,0.53,0.95,0.42
65,4,True,2,rrlyr,-809.167165444164,-812.54227854238,student,RL,"{'mean1': 1.0005342901278667, 'Intercept': 1.0098709451875223, 'col0': 1.0651855859922108, 'col1': 1.102635752244362, 'col2': 1.1406428226417624, 'col3': 1.0114563179866531, 'col4': 1.0036293886292924, 'col5': 1.0087149818283923, 'col6': 0.9999859002418716, 'col7': 1.0013185443605053}",0.98,0.67,0.98,0.69
66,4,True,2,cep,-inf,-1102.22555362925,student,RL,"{'mean1': 1.0015080791184943, 'Intercept': 1.0458025086953895, 'col0': 1.0215711553252775, 'col1': 1.0025763131617615, 'col2': 1.000401930962912, 'col3': 1.0038742227079767, 'col4': 1.1027730663990236, 'col5': 1.0504122425893718, 'col6': 1.0036312174599107, 'col7': 1.0066707537579749}",0.92,0.59,0.92,0.53
67,4,True,2,dsct,-inf,-272.852556769464,student,RL,"{'mean1': 0.9996794692382437, 'Intercept': 1.0116342747368994, 'col0': 1.3617674558116728, 'col1': 1.2442453285029562, 'col2': 1.2036329149440272, 'col3': 1.1313254365074348, 'col4': 1.0064391804624855, 'col5': 1.0328777523211883, 'col6': 0.9995283524197848, 'col7': 1.0558601673223191}",0.97,0.55,0.97,0.35
68,4,True,2,lpv,-inf,-492.059974243904,student,RL,"{'mean1': 0.9995601248107807, 'Intercept': 1.0919932187560324, 'col0': 1.117101218659774, 'col1': 1.074923739432265, 'col2': 1.0194387851484237, 'col3': 1.1812243367624329, 'col4': 1.6192042773426234, 'col5': 1.0896632588096502, 'col6': 1.1284685681851176, 'col7': 1.0671814593966769}",0.99,0.72,0.99,0.77
69,4,True,2,ecl,-1671.37159802329,-1678.65092971823,student,RL,"{'mean1': 0.9995033963791026, 'Intercept': 1.0025171101352561, 'col0': 1.0131222623285876, 'col1': 1.1183902352027943, 'col2': 1.1104734984259186, 'col3': 1.032179886242095, 'col4': 1.0170512703448802, 'col5': 1.000911955511688, 'col6': 1.0155081216549404, 'col7': 0.9996994736116176}",0.95,0.53,0.95,0.43
70,4,True,2,rrlyr,-1096.78200538195,-1104.91674015717,laplace,RL,"{'mean1': 1.0049083947010702, 'Intercept': 1.0170469055968432, 'col0': 0.9995376643971361, 'col1': 1.0159640123696123, 'col2': 1.0241163381297442, 'col3': 1.00048143611964, 'col4': 1.0000948328444395, 'col5': 1.0078815473935943, 'col6': 1.0379647224386277, 'col7': 1.0132455023896743}",0.97,0.64,0.97,0.65
